NOME,LAT,LON
Abrolhos,-17.98,-38.71
Alcatrazes,-24.12,-45.67
Bacia de Campos,-22.80,-40.10
Bacia de Santos,-25.19,-42.50
Cabo Frio,-22.98,-42.1 
Cabo Frio 2,-23.62,-42.20
Fortaleza,-3.21,-38.43
Imbituba,-28.35,-48.65
Itaguai,-23.47,-43.98
Itajai,-28.48,-47.52
Itaoca,-21.49,-40.26
Minuano,-32.88,-50.85
Niteroi,-22.92,-43.13
Niteroi 2,-22.88,-43.13
Noronha,-3.79,-32.37
Porto Seguro,-15.98,-37.94
Recife,-8.14,-34.55
Rio Grande,-31.53,-49.85
Santos,-25.28,-44.92
Vitoria,-19.93,-39.70
Vitoria-Trindade,-20.51,-29.28

